ID,Text
1,"🚦 Traffic Alert: Heavy congestion detected near Central Bridge. Expected delay: 25 minutes."
2,"Your library book 'The AI Revolution' is due tomorrow. Please return or renew it online."
3,"Reminder: Parent-Teacher Meeting starts at 09:30 AM on 12/08/2026 in Room A-204."
4,"Emergency Update: Water supply will be interrupted from 10:00 PM to 6:00 AM for maintenance."
5,"Your food delivery #FD92841 has arrived! Rate your experience from 1 to 5 stars."
6,"Breaking News!!! Scientists discovered a new species of deep-sea fish near Antarctica."
7,"Security Notice: An unsuccessful login attempt was detected on your account from a new device."
8,"Flight AI-472 to Singapore has been delayed by 1 hour due to bad weather conditions."
9,"Community Event: Join the Green Earth campaign and plant a tree this Sunday at City Park."
10,"Exam Results Published! Visit https://studentportal.edu to download your semester marksheet."
11,"Smart Parking: Slot P-18 has been reserved successfully until 4:30 PM."
12,"Your fitness tracker recorded 12,486 steps and burned 542 calories today. Great job! 💪"
13,"Maintenance Ticket #MT5632 has been resolved. Thank you for reporting the streetlight issue."
14,"Weather Warning: Thunderstorms with winds up to 80 km/h are expected tonight."
15,"Text preprocessing helps clean noisy text by removing URLs, emojis 😊, numbers, punctuation, and extra spaces."
