ID,Cleaned_Text
1,traffic alert heavy congestion detected near central bridge expected delay minutes
2,library book ai revolution due tomorrow please return renew online
3,reminder parentteacher meeting starts room
4,emergency update water supply interrupted pm maintenance
5,food delivery fd arrived rate experience stars
6,breaking news scientists discovered new species deepsea fish near antarctica
7,security notice unsuccessful login attempt detected account new device
8,flight ai singapore delayed hour due bad weather conditions
9,community event join green earth campaign plant tree sunday city park
10,exam results published visit https studentportal edu download semester marksheet
11,smart parking slot p reserved successfully pm
12,fitness tracker recorded steps burned calories today great job
13,maintenance ticket mt resolved thank reporting streetlight issue
14,weather warning thunderstorms winds km h expected tonight
15,text preprocessing helps clean noisy text removing urls emojis numbers punctuation extra spaces
